min,gp,dist_miles,usg_pct,ts_pct,age,player_height_inches,player_weight,injured_last_season,injury_report_count_last_season,b2b_games,age_x_minutes,weight_x_minutes,b2b_x_minutes,age_x_weight,target_next_season
34.9,80,2.6,0.268,0.585,25.0,75.0,190.0,0.0,0.0,15,872.5,6631.0,523.5,4750.0,0
17.3,82,1.3,0.178,0.498,21.0,84.0,240.0,0.0,0.0,22,363.3,4152.0,380.6,5040.0,2
24.0,62,1.8,0.153,0.53,22.0,84.0,240.0,1.0,1.0,22,528.0,5760.0,528.0,5280.0,2
24.3,73,1.8,0.152,0.592,23.0,84.0,240.0,1.0,2.0,16,558.9,5832.0,388.8,5520.0,3
27.8,62,2.0,0.153,0.604,24.0,84.0,240.0,1.0,2.0,16,667.2,6672.0,444.8,5760.0,1
13.1,49,1.0,0.188,0.442,20.0,73.0,168.0,0.0,0.0,21,262.0,2200.7999999999997,275.09999999999997,3360.0,1
19.7,77,1.4,0.267,0.516,21.0,73.0,168.0,0.0,0.0,21,413.7,3309.6,413.7,3528.0,0
20.3,80,1.5,0.286,0.51,22.0,73.0,172.0,1.0,1.0,19,446.6,3491.6,385.7,3784.0,0
31.5,79,2.3,0.272,0.533,23.0,73.0,172.0,0.0,0.0,18,724.5,5418.0,567.0,3956.0,4
12.6,31,0.9,0.129,0.5,24.0,84.0,255.0,0.0,0.0,18,302.4,3213.0,226.79999999999998,6120.0,2
14.3,59,1.0,0.124,0.568,25.0,84.0,245.0,0.0,0.0,17,357.5,3503.5,243.10000000000002,6125.0,0
12.2,58,0.8,0.151,0.606,26.0,84.0,245.0,1.0,2.0,19,317.2,2989.0,231.79999999999998,6370.0,1
17.5,76,1.2,0.118,0.645,27.0,84.0,245.0,0.0,0.0,15,472.5,4287.5,262.5,6615.0,2
4.9,3,0.4,0.2,0.47,23.0,77.0,188.0,0.0,0.0,21,112.7,921.2,102.9,4324.0,0
9.5,43,0.7,0.181,0.436,24.0,76.0,185.0,0.0,0.0,21,228.0,1757.5,199.5,4440.0,0
13.6,60,0.9,0.167,0.534,24.0,83.0,238.0,0.0,0.0,21,326.4,3236.7999999999997,285.59999999999997,5712.0,1
30.0,73,2.0,0.149,0.573,25.0,83.0,233.0,0.0,0.0,19,750.0,6990.0,570.0,5825.0,0
27.1,82,1.8,0.165,0.601,26.0,83.0,241.0,1.0,1.0,14,704.6,6531.1,379.40000000000003,6266.0,0
32.4,82,2.2,0.14,0.555,27.0,83.0,240.0,0.0,0.0,15,874.8,7776.0,486.0,6480.0,1
11.5,22,0.8,0.2,0.506,23.0,72.0,188.0,0.0,0.0,20,264.5,2162.0,230.0,4324.0,4
20.0,47,1.4,0.211,0.534,24.0,72.0,201.0,0.0,0.0,21,480.0,4020.0,420.0,4824.0,1
25.5,77,1.8,0.191,0.528,25.0,72.0,201.0,1.0,4.0,19,637.5,5125.5,484.5,5025.0,0
15.2,39,1.1,0.151,0.483,26.0,72.0,201.0,1.0,1.0,17,395.2,3055.2,258.4,5226.0,2
7.7,21,0.6,0.137,0.489,22.0,77.0,191.0,0.0,0.0,18,169.4,1470.7,138.6,4202.0,0
11.8,58,0.9,0.118,0.59,24.0,84.0,235.0,0.0,0.0,19,283.20000000000005,2773.0,224.20000000000002,5640.0,0
7.0,37,0.5,0.171,0.57,25.0,84.0,222.0,0.0,0.0,20,175.0,1554.0,140.0,5550.0,0
12.9,51,0.9,0.149,0.577,26.0,84.0,231.0,0.0,0.0,18,335.40000000000003,2979.9,232.20000000000002,6006.0,0
8.5,51,0.6,0.139,0.588,27.0,84.0,231.0,0.0,0.0,17,229.5,1963.5,144.5,6237.0,0
20.0,70,1.5,0.201,0.546,23.0,84.0,238.0,0.0,0.0,20,460.0,4760.0,400.0,5474.0,0
22.2,64,1.6,0.206,0.558,24.0,84.0,238.0,0.0,0.0,18,532.8,5283.599999999999,399.59999999999997,5712.0,2
20.2,69,1.4,0.204,0.561,25.0,84.0,238.0,0.0,0.0,19,505.0,4807.599999999999,383.8,5950.0,1
20.5,75,1.4,0.185,0.603,26.0,84.0,238.0,1.0,2.0,17,533.0,4879.0,348.5,6188.0,1
19.8,80,1.4,0.136,0.483,21.0,77.0,205.0,0.0,0.0,20,415.8,4059.0,396.0,4305.0,0
31.5,82,2.3,0.19,0.501,22.0,77.0,205.0,0.0,0.0,22,693.0,6457.5,693.0,4510.0,2
36.7,76,2.6,0.177,0.521,23.0,77.0,205.0,0.0,0.0,20,844.1,7523.500000000001,734.0,4715.0,0
33.3,76,2.4,0.187,0.519,24.0,77.0,205.0,1.0,2.0,17,799.1999999999999,6826.499999999999,566.0999999999999,4920.0,1
8.6,26,0.7,0.195,0.349,23.0,77.0,195.0,0.0,0.0,20,197.79999999999998,1677.0,172.0,4485.0,0
18.9,29,1.4,0.133,0.468,24.0,77.0,189.0,0.0,0.0,19,453.59999999999997,3572.1,359.09999999999997,4536.0,0
7.6,8,0.6,0.248,0.374,25.0,77.0,189.0,0.0,0.0,20,190.0,1436.3999999999999,152.0,4725.0,0
18.2,70,1.3,0.168,0.67,24.0,83.0,235.0,0.0,0.0,20,436.79999999999995,4277.0,364.0,5640.0,0
21.3,82,1.5,0.192,0.57,25.0,83.0,235.0,0.0,0.0,19,532.5,5005.5,404.7,5875.0,0
25.4,82,1.8,0.171,0.564,26.0,83.0,235.0,0.0,0.0,19,660.4,5969.0,482.59999999999997,6110.0,0
26.5,81,1.9,0.18,0.558,27.0,83.0,255.0,0.0,0.0,17,715.5,6757.5,450.5,6885.0,1
34.5,70,2.6,0.254,0.48,22.0,78.0,185.0,0.0,0.0,20,759.0,6382.5,690.0,4070.0,5
32.6,66,2.4,0.264,0.461,23.0,78.0,190.0,1.0,1.0,21,749.8000000000001,6194.0,684.6,4370.0,8
30.5,54,2.3,0.206,0.497,24.0,78.0,190.0,1.0,5.0,20,732.0,5795.0,610.0,4560.0,2
18.8,45,1.4,0.203,0.437,25.0,78.0,190.0,1.0,8.0,17,470.0,3572.0,319.6,4750.0,5
10.7,20,0.8,0.185,0.48,22.0,83.0,239.0,0.0,0.0,21,235.39999999999998,2557.2999999999997,224.7,5258.0,0
12.6,40,0.9,0.16,0.608,23.0,83.0,230.0,0.0,0.0,21,289.8,2898.0,264.59999999999997,5290.0,2
9.4,60,0.7,0.152,0.576,24.0,83.0,240.0,0.0,0.0,19,225.60000000000002,2256.0,178.6,5760.0,1
17.7,70,1.3,0.145,0.596,25.0,83.0,240.0,1.0,2.0,18,442.5,4248.0,318.59999999999997,6000.0,2
22.6,58,1.6,0.163,0.486,23.0,76.0,190.0,0.0,0.0,21,519.8000000000001,4294.0,474.6,4370.0,1
11.7,21,0.9,0.131,0.352,24.0,76.0,190.0,1.0,1.0,21,280.79999999999995,2223.0,245.7,4560.0,1
